"Features","Importance","Gene_Symbol"
"238189_at",0.0226218442836931,"SIN3A"
"233259_at",0.0181870747919928,"EFCC1"
"202931_x_at",0.0151405886844124,"BIN1"
"222099_s_at",0.0129934880480066,"LSM14A"
"49327_at",0.0122468120214979,"SIRT3"
"214446_at",0.0117775305016261,"ELL2"
"227199_at",0.0107807776060969,"DIP2A"
"227414_at",0.0105058042691022,"RHBDD1"
"202425_x_at",0.00981065810534644,"PPP3CA"
"213982_s_at",0.00956054231289249,"RABGAP1L"
"219461_at",0.00937912759871185,"PAK6"
"212825_at",0.00916677839379425,"PAXIP1"
"217101_at",0.00896844929307735,"TTC39A"
"208019_at",0.00887711784421369,"ZNF157"
"204674_at",0.00874960982173012,"IRAG2"
"239202_at",0.00832786418745978,"RAB3B"
"223803_s_at",0.00789022315489485,"ZCCHC10"
"213477_x_at",0.00739903490725556,"EEF1A1"
"222428_s_at",0.00690030786546804,"LARS1"
"1567179_at",0.00682402718155263,NA
"209947_at",0.00651697100698197,"UBAP2L"
"211047_x_at",0.00641302829154453,"AP2S1"
"244126_at",0.0063950420837229,"PEX11G"
"214829_at",0.00587159688862492,"AASS"
"228508_at",0.00578121426575592,"MAML3"
"219424_at",0.0056507812659413,"EBI3"
"221044_s_at",0.00562132159600616,NA
"234969_s_at",0.0055986943064599,"EPC1"
"201209_at",0.0054629890030798,"HDAC1"
"203967_at",0.00535984306777696,"CDC6"
"212593_s_at",0.00530350441708788,"PDCD4"
"222888_at",0.00516669396380465,"CCNJ"
"227453_at",0.00512158963257732,"UNC13A"
"202570_s_at",0.00510724484473077,"DLGAP4"
"209918_at",0.0050615882034049,NA
"1563690_at",0.00491020666673574,NA
"226913_s_at",0.0048824031910996,"SOX8"
"235764_at",0.00473972203751043,"PRDM5"
"207043_s_at",0.00469705294716019,"SLC6A9"
"1559928_at",0.0046560441958342,"PAPPA"
"221494_x_at",0.00452222276082024,"EIF3K"
"208668_x_at",0.00451633092094219,"HMGN2"
"214370_at",0.00444724447329223,"S100A8"
"242344_at",0.00432656519169999,"GABRB2"
"1568955_at",0.00427560240699852,NA
"222787_s_at",0.00423902286604093,"TMEM106B"
"219027_s_at",0.00422480550787916,"MYO9A"
"233034_at",0.00416403360056297,NA
"1563946_at",0.00413751271507212,NA
"62212_at",0.00407485075753697,"C1orf50"
"227923_at",0.00400488854625913,"SHANK3"
"200655_s_at",0.00399033126468622,NA
"217726_at",0.00392567408359011,"COPZ1"
"1557189_at",0.00390142513563928,"DNASE1"
"222032_s_at",0.00387537102186307,"USP7"
"203479_s_at",0.00384051296991524,"OTUD4"
"204106_at",0.00376511512630155,"TESK1"
"212066_s_at",0.00372939078018266,"USP34"
"1555186_at",0.00372806953398559,NA
"1569607_s_at",0.00371176948599581,NA
"221247_s_at",0.00366393264688531,"RCC1L"
"223112_s_at",0.00361469076302378,"NDUFB10"
"234722_x_at",0.00358706743852569,"OBP2B"
"201620_at",0.00357527132754534,"MBTPS1"
"36554_at",0.00351561019599184,"ASMTL"
"243588_at",0.00348731359979565,NA
"230181_at",0.00348019594916451,"SLC66A2"
"202032_s_at",0.00347972628358051,"MAN2A2"
"200081_s_at",0.00346109478735619,"RPS6"
"1562349_at",0.00344025974879099,"TRAPPC2"
"230003_at",0.00343418171004134,"SLC16A7"
"220282_at",0.00342716881386851,"RIC3"
"208243_s_at",0.00332565887092534,"CNR1"
"221752_at",0.00330015532642797,"SSH1"
"219217_at",0.00327529763916325,"NARS2"
"206185_at",0.00326323657388103,"CRYBB1"
"204126_s_at",0.0032278856995211,"CDC45"
"204530_s_at",0.00318142484444275,"TOX"
"235460_at",0.00310090727370813,"SNX22"
"230200_at",0.00309910556055328,"NSUN6"
"207961_x_at",0.00309003368549013,"MYH11"
"219843_at",0.00303808565566387,"IPP"
"221068_at",0.00302832529895185,"KANK2"
"220666_at",0.00298572269720019,NA
"224736_at",0.00294660171240652,"CCAR1"
"209920_at",0.00294531164757487,"BMPR2"
"212653_s_at",0.00292080592010069,"EHBP1"
"201748_s_at",0.00287096732268236,"SAFB"
"239864_at",0.00286532700594233,"BBIP1"
"201744_s_at",0.00280719468947256,"LUM"
"224737_x_at",0.00278765376762469,"CCAR1"
"1556718_s_at",0.0027561920920299,"MIR194-2HG"
"220330_s_at",0.00275547878748003,"SAMSN1"
"213436_at",0.00268009064038877,"CNR1"
"209447_at",0.00266224704076657,"SYNE1"
"213867_x_at",0.00265058749141406,"ACTB"
"209682_at",0.00265046055991449,"CBLB"
"215402_at",0.00256052119364062,"APPBP2"
"222004_s_at",0.00255001240295083,NA
"200006_at",0.00249420005375178,"PARK7"
"237243_at",0.00243845228080601,NA
"1555441_at",0.00243771594072367,"UBA6"
"212719_at",0.00240077169376071,"PHLPP1"
"234568_at",0.00233558363689573,"SCAMP5"
"1553678_a_at",0.00233513231077009,"ITGB1"
"236087_at",0.00230428214042549,"ABLIM2"
"204585_s_at",0.00230258843582975,"L1CAM"
"215498_s_at",0.00228858478725286,"MAP2K3"
"1561014_at",0.00228837073793539,NA
"235375_x_at",0.00224467112805794,"TTC9B"
"205332_at",0.00224024913581001,"RCE1"
"1556914_at",0.00223713439514723,"LINC01838"
"239035_at",0.00222786854422513,"MTHFR"
"1566445_at",0.00221560788534812,NA
"1558786_at",0.00220956164491667,"TSPAN3"
"215368_at",0.00220175462200713,"NEB"
"239027_at",0.00218933170921518,"DOCK8"
"217946_s_at",0.00218138114408589,"SAE1"
"241254_at",0.0021571835071074,NA
"212929_s_at",0.00215401404902217,NA
"208894_at",0.00214458825495039,"HLA-DRA"
"212467_at",0.00214372959206642,"DNAJC13"
"237691_x_at",0.00213902871079097,"ENO3"
"204852_s_at",0.0021348341299918,"PTPN7"
"201914_s_at",0.00212600909088887,"SEC63"
"219151_s_at",0.00210425901644507,NA
